,class,xbox,ybox,width,height,onpixel,xbar,ybar,xvar,yvar,xycorr,x2ybar,xy2bar,xedge,xedgeycorr,yedge,yedgexcorr
0,0,2,8,3,5,1,8,13,0,6,6,10,8,0,8,0,8
1,1,5,12,3,7,2,10,5,5,4,13,3,9,2,8,4,10
2,2,4,11,6,8,6,10,6,2,6,10,3,7,3,7,3,9
3,3,7,11,6,6,3,5,9,4,6,4,4,10,6,10,2,8
4,4,2,1,3,1,1,8,6,6,6,6,5,9,1,7,5,10
5,5,4,11,5,8,3,8,8,6,9,5,6,6,0,8,9,7
6,6,4,2,5,4,4,8,7,6,6,7,6,6,2,8,7,10
7,7,1,1,3,2,1,8,2,2,2,8,2,8,1,6,2,7
8,8,2,2,4,4,2,10,6,2,6,12,4,8,1,6,1,7
9,9,11,15,13,9,7,13,2,6,2,12,1,9,8,1,1,8
10,10,3,9,5,7,4,8,7,3,8,5,6,8,2,8,6,7
11,11,6,13,4,7,4,6,7,6,3,10,7,9,5,9,5,8
12,4,4,9,6,7,6,7,8,6,2,6,5,11,4,8,7,8
13,9,6,9,8,6,9,7,8,6,5,7,5,8,8,9,8,6
14,12,5,9,5,7,6,6,11,7,3,7,3,9,2,7,5,11
15,13,6,9,5,4,3,10,6,3,5,10,5,7,3,9,6,9
16,11,3,4,4,3,2,8,7,7,5,7,6,8,2,8,3,8
17,14,7,10,5,5,2,6,8,6,8,11,7,11,2,8,5,9
18,0,6,11,6,8,5,6,11,5,6,11,9,4,3,12,2,4
19,8,2,2,3,3,1,10,6,3,6,12,4,9,0,7,1,7
20,8,1,3,2,2,1,8,8,2,5,14,5,8,0,7,0,7
21,15,4,5,5,4,4,7,7,6,6,7,6,8,3,8,3,8
22,5,3,2,3,3,2,8,8,7,5,7,5,7,2,8,9,8
23,11,6,11,7,8,5,7,6,9,6,7,5,9,4,8,5,5
24,8,3,6,4,4,2,6,6,4,4,14,8,12,1,6,1,6
25,14,6,11,7,8,3,7,8,7,11,4,7,14,1,7,4,8
26,9,7,11,11,8,9,3,8,4,5,10,11,10,10,9,5,7
27,16,12,14,12,8,5,9,10,4,3,5,10,7,10,12,2,6
28,15,6,9,8,7,6,8,6,6,7,7,7,9,6,8,4,8
29,4,3,6,4,4,2,6,6,5,5,6,6,9,2,8,4,8
30,17,2,3,3,4,1,0,1,5,6,0,0,6,0,8,0,8
31,17,1,3,3,1,1,6,4,1,7,8,3,10,0,7,2,9
32,10,8,12,8,6,4,3,10,4,7,12,11,9,3,7,3,4
33,6,5,9,7,7,10,9,8,4,4,6,8,6,6,11,8,7
34,9,6,9,9,7,6,5,6,3,5,10,9,9,8,5,2,7
35,4,4,7,6,5,3,6,6,6,8,6,5,9,3,10,4,8
36,11,4,7,5,5,3,7,7,8,6,7,6,8,3,8,3,8
37,18,3,6,4,4,2,4,14,8,1,11,6,3,0,10,4,8
38,4,4,9,5,6,6,8,5,4,3,7,5,11,6,8,5,11
39,19,3,4,3,6,2,3,8,6,10,7,6,15,0,8,7,8
40,10,5,11,8,8,4,8,8,1,8,10,5,7,3,8,4,8
41,19,3,7,4,5,4,7,7,5,8,8,8,9,3,9,6,9
42,10,4,6,7,4,3,9,7,2,8,11,3,7,3,8,4,9
43,4,4,5,5,8,3,7,6,8,8,6,6,10,1,8,6,11
44,20,7,9,6,5,2,8,10,4,5,8,10,5,4,12,3,8
45,10,4,10,5,7,5,8,7,3,8,5,6,6,3,8,6,8
46,16,5,9,6,7,8,7,9,5,3,7,9,8,6,8,3,8
47,4,1,3,2,1,1,7,7,5,6,7,5,10,1,9,3,9
48,12,8,10,8,6,6,7,7,3,5,8,4,8,6,6,7,7
49,5,3,9,4,7,2,7,5,6,10,5,6,10,0,9,9,8
50,21,7,11,9,8,8,9,5,6,4,7,8,8,3,9,8,3
51,17,3,6,3,4,1,1,0,6,6,0,1,5,0,8,0,8
52,21,2,4,4,3,2,6,10,1,7,8,11,8,1,11,2,7
53,8,4,5,6,6,5,8,10,4,4,7,7,9,3,7,7,5
54,5,4,9,5,6,4,7,8,7,7,8,4,7,2,7,9,8
55,22,6,9,7,11,7,8,5,7,5,9,6,9,3,8,6,8
56,22,3,5,5,4,4,9,3,4,3,8,4,9,3,6,4,8
57,2,2,6,3,4,2,6,7,10,8,6,6,6,3,8,3,8
58,14,6,10,4,5,2,6,9,6,6,11,7,7,2,9,5,9
59,17,5,10,6,8,5,9,3,2,6,9,2,9,2,5,3,9
60,3,3,3,3,5,2,7,7,13,2,5,6,8,5,8,0,8
61,14,2,3,3,1,1,5,9,4,6,11,9,11,1,9,2,8
62,19,6,9,4,4,2,7,7,4,7,10,6,10,1,9,7,9
63,10,4,9,5,6,5,7,6,3,5,6,6,9,2,8,8,8
64,15,3,3,4,1,2,8,7,5,6,7,6,8,5,8,3,7
65,17,2,3,2,4,1,0,1,5,6,0,0,6,0,8,0,8
66,15,3,5,5,4,3,7,8,3,6,10,6,8,3,8,3,8
67,19,2,3,3,2,2,7,7,5,7,7,6,8,2,8,5,10
68,21,5,10,6,7,6,9,6,6,4,7,8,7,6,9,8,3
69,15,8,12,8,6,4,9,8,4,5,8,4,5,6,9,5,9
70,22,5,10,5,5,4,9,6,5,6,10,6,7,4,8,9,9
71,22,3,8,5,7,3,8,7,9,6,6,6,9,3,8,5,9
72,22,4,6,6,4,5,8,5,6,4,6,7,10,4,7,5,9
73,8,2,8,3,6,1,13,3,8,4,13,3,11,1,6,0,8
74,8,4,7,5,5,2,8,9,1,7,14,5,6,0,8,1,8
75,2,4,5,5,4,3,7,7,7,7,7,6,5,2,8,3,7
76,12,2,6,4,4,3,6,7,5,5,6,5,7,3,7,5,8
77,9,4,5,7,4,4,6,6,3,4,9,9,10,7,5,2,8
78,7,3,7,5,5,3,12,2,3,2,10,2,9,2,6,3,8
79,3,3,5,4,4,2,7,8,5,4,7,7,7,6,9,2,5
80,9,6,10,9,7,8,3,7,4,5,10,11,10,7,9,3,7
81,18,8,14,7,8,4,5,10,6,3,12,5,4,4,10,4,8
82,14,6,12,5,7,4,8,5,4,3,9,9,11,4,9,8,10
83,18,6,10,8,8,7,8,5,7,5,7,6,6,3,9,8,9
84,3,2,3,3,1,1,5,9,3,3,10,8,8,4,8,0,8
85,16,3,4,4,3,2,9,10,3,2,5,9,7,6,11,0,8
86,20,3,8,5,6,6,8,7,4,1,8,7,8,5,10,4,7
87,20,6,9,9,8,10,8,7,5,5,7,6,8,8,9,9,3
88,9,6,7,9,5,7,4,7,3,5,10,10,11,8,6,3,7
89,19,4,8,5,6,4,7,7,4,8,11,8,9,2,9,5,7
90,3,6,11,8,8,9,5,8,3,4,8,8,9,7,9,5,4
91,21,8,10,8,7,4,3,10,3,7,11,12,6,1,11,3,5
92,16,4,8,5,6,3,6,8,4,1,7,8,8,8,9,0,8
93,11,6,7,8,6,6,6,6,5,6,8,5,8,3,6,5,6
94,3,4,4,4,6,2,7,7,14,2,5,6,8,6,8,0,8
95,15,4,8,5,6,5,7,10,8,5,8,5,6,3,6,7,11
96,11,4,7,5,5,3,8,7,8,5,10,6,8,3,8,3,8
97,3,4,8,5,6,4,7,7,9,4,6,4,6,3,7,3,8
98,15,4,9,5,6,2,7,6,15,1,7,7,8,3,8,0,8
99,23,7,11,8,9,4,3,9,6,7,11,11,10,3,9,2,6
100,21,2,7,3,5,1,6,10,0,3,7,11,8,1,11,0,8
101,5,6,8,7,6,4,6,9,4,8,11,7,6,2,8,5,5
102,5,5,9,6,7,5,7,7,7,5,7,6,7,2,8,9,8
103,0,2,3,2,2,1,7,11,2,6,7,10,8,1,11,1,7
104,14,2,3,3,2,1,4,7,4,6,10,9,13,1,9,2,7
105,20,4,10,7,7,2,9,8,5,3,5,14,8,3,9,0,8
106,0,5,8,5,6,3,6,12,4,7,12,9,4,2,12,2,4
107,24,7,12,6,6,3,7,8,2,7,9,7,8,5,8,3,7
108,2,3,8,4,6,4,7,8,7,6,7,7,5,3,8,3,7
109,16,2,1,3,1,1,7,8,4,0,7,8,8,6,10,0,8
110,1,2,9,3,7,2,8,7,0,7,13,6,9,0,8,1,8
111,19,3,8,3,6,2,3,7,6,10,7,6,14,0,8,7,8
112,13,6,9,8,7,4,6,12,6,6,13,7,3,2,9,2,5
113,1,3,9,4,7,3,7,7,0,7,13,6,8,0,8,1,8
114,15,5,10,7,8,8,7,7,6,6,7,6,9,3,8,4,8
115,23,4,7,4,5,2,7,5,13,5,7,14,7,3,9,0,8
116,14,2,3,3,2,1,6,8,7,7,9,7,12,1,10,3,9
117,13,5,9,6,7,7,7,6,6,4,7,7,8,5,10,9,12
118,7,3,8,5,6,3,9,2,2,3,8,2,8,2,6,3,7
119,25,3,7,5,5,3,7,8,2,9,11,7,7,1,8,6,7
120,10,3,7,5,5,2,10,5,2,8,10,1,7,3,7,3,10
121,3,3,3,5,2,2,5,10,3,4,10,8,7,5,8,1,8
122,12,6,9,5,4,3,10,6,5,5,10,2,8,6,6,4,9
123,6,3,3,3,4,3,7,7,5,5,7,6,6,5,8,5,10
124,6,5,9,7,7,7,8,8,3,6,10,5,6,3,7,6,8
125,23,5,6,5,4,2,5,8,6,8,9,8,8,3,9,2,5
126,8,4,4,6,5,4,8,9,4,5,7,6,9,3,7,8,8
127,13,3,7,4,5,2,1,11,4,4,11,11,8,0,8,2,7
128,9,6,8,9,6,6,11,6,2,5,9,3,6,9,7,2,9
129,15,1,1,2,1,1,7,7,12,1,7,6,8,3,8,0,8
130,7,2,1,4,2,1,8,1,2,2,7,2,8,2,5,2,7
131,11,5,10,4,5,3,6,6,6,2,9,6,9,5,9,4,8
132,19,1,0,1,1,1,4,7,5,8,7,6,13,0,8,6,10
133,23,3,3,3,1,1,5,8,5,7,10,9,8,3,10,2,6
134,7,3,7,5,5,3,10,4,1,2,8,3,9,2,4,2,7
