@relation 'AT: wine-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute '-0.423Flavanoids-0.395Total_phenols-0.376OD280\%2FOD315_of_diluted_wines-0.313Proanthocyanins+0.299Nonflavanoid_phenols...' numeric
@attribute '0.53 Color_intensity+0.484Alcohol+0.365Proline+0.316Ash+0.3  Magnesium...' numeric
@attribute '-0.626Ash-0.612Alcalinity_of_ash+0.207Alcohol-0.17Nonflavanoid_phenols-0.166OD280\%2FOD315_of_diluted_wines...' numeric
@attribute 0.537Malic_acid-0.428Hue+0.399Proanthocyanins-0.352Magnesium-0.232Proline... numeric
@attribute 0.727Magnesium-0.501Nonflavanoid_phenols-0.266Alcohol-0.174Hue-0.158Proline... numeric
@attribute '-0.537Malic_acid+0.534Proanthocyanins+0.419Color_intensity-0.266OD280\%2FOD315_of_diluted_wines+0.259Nonflavanoid_phenols...' numeric
@attribute 0.595Nonflavanoid_phenols+0.421Malic_acid+0.372Proanthocyanins+0.323Magnesium-0.287Alcalinity_of_ash... numeric
@attribute -0.437Hue-0.428Alcalinity_of_ash+0.406Total_phenols-0.396Alcohol-0.368Proanthocyanins... numeric
@attribute 0.576Proline-0.509Alcohol+0.308Ash-0.286Total_phenols-0.271Magnesium... numeric
@attribute '-0.524OD280\%2FOD315_of_diluted_wines+0.522Hue+0.32 Total_phenols+0.309Malic_acid+0.291Color_intensity...' numeric
@attribute class {1,2,3}

@data
-3.307421,1.439402,0.165273,-0.215025,0.691093,-0.22325,0.594749,0.064956,-0.639638,-1.018084,1
-2.20325,-0.332455,2.020757,-0.290539,-0.25693,-0.924512,0.053624,1.021534,0.307978,-0.159252,1
-2.509661,1.028251,-0.980054,0.722863,-0.250327,0.547731,0.423012,-0.343248,1.174521,-0.113042,1
-3.746497,2.748618,0.175696,0.566386,-0.310964,0.114109,-0.382259,0.641783,-0.052397,-0.238739,1
-1.00607,0.867384,-2.020987,-0.408613,0.297618,-0.405376,0.442825,0.415528,-0.3259,0.078146,1
-3.041674,2.116431,0.627625,-0.514187,-0.630241,0.123083,0.400524,0.393783,0.151718,0.101709,1
-2.442201,1.171545,0.974346,-0.065645,-1.024871,-0.618376,0.052742,-0.370888,0.45573,-1.013704,1
-2.053644,1.604437,-0.14587,-1.189253,0.076687,-1.435756,0.032285,0.232324,-0.123023,-0.733531,1
-2.503811,0.915488,1.765987,0.056112,-0.889747,-0.128818,0.124933,-0.498173,-0.604883,-0.173617,1
-2.745882,0.787217,0.981479,0.348399,-0.467235,0.162932,-0.871893,0.150156,-0.229841,-0.178915,1
-3.469948,1.29867,0.421546,0.026766,-0.337423,-0.182387,0.247464,-1.203217,0.523098,0.213934,1
-1.749817,0.610256,1.187528,-0.88766,-0.736495,-0.5515,-0.433045,-0.982355,0.472697,-0.219663,1
-2.107517,0.673806,0.862653,-0.355435,-1.206525,-0.214471,-0.241915,-0.460208,0.876341,0.096234,1
-3.448429,1.127449,1.200889,0.162001,-2.017436,0.743683,1.471622,-0.379316,0.02563,0.243964,1
